Date,Open,High,Low,Close,Volume
2022.01.02T22:00,16419.7,16526.0,16310.6,16512.8,209249
2022.01.03T22:00,16516.0,16579.2,16155.8,16276.6,255990
2022.01.04T22:00,16278.4,16283.4,15768.0,15768.6,396027
2022.01.05T22:00,15779.4,15910.6,15614.2,15808.3,629752
2022.01.06T22:00,15826.0,15867.8,15525.2,15586.6,449885
2022.01.09T22:00,15605.3,15683.6,15167.6,15631.6,559798
2022.01.10T22:00,15638.0,15853.6,15490.2,15840.0,502317
2022.01.11T22:00,15841.7,16024.2,15777.4,15911.4,377613
2022.01.12T22:00,15909.8,15994.0,15473.4,15515.6,417687
2022.01.13T22:00,15524.2,15634.7,15327.6,15633.0,648093
2022.01.16T22:00,15656.9,15661.0,15522.6,15572.9,187224
2022.01.17T22:00,15598.4,15617.6,15185.8,15254.8,634822
2022.01.18T22:00,15259.8,15386.4,15026.6,15049.8,697868
2022.01.19T22:00,15057.8,15355.0,14661.8,14736.8,645058
2022.01.20T22:00,14741.0,14873.0,14423.5,14426.6,1444876
2022.01.23T22:00,14420.0,14595.0,13721.2,14532.6,1595942
2022.01.24T22:00,14501.3,14514.2,13905.5,13937.9,1640137
2022.01.25T22:00,13976.5,14654.8,13974.8,14167.0,1396706
2022.01.26T22:00,14224.9,14424.0,13860.7,14125.6,1701983
2022.01.27T22:00,14190.0,14455.2,13844.8,14444.2,1475367
2022.01.30T22:00,14473.9,14928.2,14367.0,14880.8,739869
2022.01.31T22:00,14878.9,15150.0,14742.6,15130.0,754040
2022.02.01T22:00,15136.8,15273.2,14840.2,14875.1,794406
2022.02.02T22:00,14853.0,14882.6,14469.6,14814.8,739252
2022.02.03T22:00,14775.0,14834.4,14372.4,14651.8,924919
2022.02.06T22:00,14684.4,14814.6,14520.2,14609.6,718343
2022.02.07T22:00,14609.6,14784.4,14476.8,14754.4,542423
2022.02.08T22:00,14759.1,15075.8,14749.8,15061.4,311207
2022.02.09T22:00,15063.7,15064.2,14628.6,14702.2,874265
2022.02.10T22:00,14703.0,14772.8,14187.6,14263.6,1052617
2022.02.13T22:00,14251.2,14398.6,14035.5,14263.6,1255197
2022.05.26,21:00,12249.7,12718.6,12221.2,12716.0,449666
2022.05.29,21:00,12709.0,12880.9,12671.6,12808.4,275192
2022.05.30,21:00,12818.3,12824.0,12478.8,12654.2,1154003
2022.05.31,21:00,12665.6,12820.6,12454.8,12547.8,922788
2022.06.01,21:00,12549.0,12901.3,12440.8,12895.0,811210
2022.06.02,21:00,12899.0,12943.2,12501.6,12547.0,752870
2022.06.05,21:00,12567.5,12808.2,12525.4,12604.4,649022
2022.06.06,21:00,12608.8,12738.0,12410.6,12678.8,590997
2022.06.07,21:00,12682.8,12782.0,12578.4,12622.2,505035
2022.06.08,21:00,12619.2,12724.2,12254.2,12297.0,556166
2022.06.09,21:00,12298.3,12337.2,11821.6,11862.2,602412
2022.06.12,21:00,11714.5,11723.4,11254.4,11330.5,1215840
2022.06.13,21:00,11339.0,11503.0,11202.8,11327.2,902157
2022.06.14,21:00,11335.2,11760.6,11325.6,11591.2,278128
2022.06.15,21:00,11625.8,11739.4,11038.2,11173.6,253804
2022.06.16,21:00,11179.8,11364.6,11088.6,11277.6,244640
2022.06.19,21:00,11300.6,11407.0,11244.4,11395.1,110270
2022.06.20,21:00,11395.6,11646.2,11366.6,11551.0,140545
2022.06.21,21:00,11545.6,11713.6,11288.8,11511.4,182246
2022.06.22,21:00,11510.8,11735.0,11429.0,11654.8,227928
2022.06.23,21:00,11659.4,12116.2,11653.6,12099.4,144969
2022.06.26,21:00,12110.6,12230.0,11962.8,12042.0,178236
2022.06.27,21:00,12046.9,12141.8,11633.8,11654.8,175688
2022.06.28,21:00,11648.6,11719.0,11535.2,11662.0,182796
2022.06.29,21:00,11662.3,11666.8,11321.8,11481.0,201764
2022.06.30,21:00,11477.4,11600.6,11352.4,11589.4,213311
2022.07.03,21:00,11582.4,11585.8,11474.1,11527.4,86184
2022.07.04,21:00,11538.8,11789.4,11359.2,11785.0,193133
2022.07.05,21:00,11797.2,11947.6,11702.4,11878.0,203070
2022.07.06,21:00,11878.1,12141.6,11811.0,12093.3,129334
2022.07.07,21:00,12086.2,12184.2,11926.4,12134.5,149585
2022.07.10,21:00,12115.2,12116.2,11826.8,11873.8,133919
2022.07.11,21:00,11871.2,11998.6,11688.0,11754.4,155208
2022.07.12,21:00,11760.8,11943.6,11455.2,11708.8,205152
2022.07.13,21:00,11703.7,11809.8,11486.8,11782.8,191741
2022.07.14,21:00,11789.4,11996.2,11716.4,11994.4,153832
2022.07.17,21:00,12039.1,12161.4,11833.8,11891.2,124767
2022.07.18,21:00,11882.4,12303.4,11864.6,12293.6,117703
2022.07.19,21:00,12309.2,12492.6,12211.3,12403.0,141937
